time	frame	x	y	
01:36.3	-769	"22,53"	"-15,2"	1
01:36.4	-770	"22,26"	"-14,93"	1
01:36.5	-771	"21,99"	"-14,66"	1
01:36.7	-772	"22,08"	"-14,4"	1
01:36.8	-773	"22,44"	"-14,03"	1
01:36.9	-774	"22,8"	"-14,03"	1
01:37.0	-775	"22,9"	"-14,67"	1
01:37.2	-776	"21,9"	"-14,58"	1
01:37.3	-777	"22,08"	"-14,04"	1
01:37.4	-778	"22,25"	"-13,86"	1
01:37.5	-779	"22,43"	"-13,85"	1
01:37.7	-780	"22,61"	"-14,04"	1
01:37.8	-781	"22,17"	"-14,49"	1
01:37.9	-782	"21,8"	"-14,13"	1
01:38.0	-783	"22,16"	"-13,58"	1
01:38.2	-784	"22,7"	"-13,58"	1
01:38.3	-785	"22,79"	"-13,67"	1
01:38.4	-786	"22,97"	"-13,85"	1
01:38.6	-787	"23,33"	"-14,57"	1
01:38.7	-788	"23,06"	"-15,02"	1
01:38.8	-789	"22,43"	"-14,93"	1
01:38.9	-790	"22,43"	"-14,03"	1
01:39.1	-791	"22,43"	"-14,75"	1
01:39.2	-792	"22,34"	"-14,66"	1
01:39.3	-793	"21,89"	"-15,3"	1
01:39.4	-794	"21,62"	"-14,85"	1
01:39.6	-795	"22,25"	"-15,12"	1
01:39.7	-796	"22,07"	"-15,93"	1
01:39.8	-797	"21,71"	"-15,3"	1
01:39.9	-798	"21,98"	"-15,03"	1
01:40.1	-799	"22,16"	"-15,03"	1
01:40.2	-800	"22,43"	"-15,3"	1
01:40.3	-801	"22,43"	"-15,47"	1
01:40.4	-802	"22,44"	"-15,66"	1
01:40.6	-803	"21,54"	"-16,56"	1
01:40.7	-804	"21,08"	"-16,65"	1
01:40.8	-805	"20,63"	"-16,38"	1
01:40.9	-806	"20,54"	"-16,2"	1
01:41.1	-807	"20,45"	"-16,02"	1
01:41.2	-808	"20,36"	"-15,93"	1
01:41.3	-809	"20,45"	"-15,66"	1
01:41.4	-810	"20,9"	"-15,75"	1
01:41.6	-811	"20,9"	"-16,11"	1
01:41.7	-812	"20,81"	"-16,56"	1
01:41.8	-813	"20,54"	"-16,65"	1
01:41.9	-814	"20,36"	"-16,64"	1
01:42.1	-815	"20,27"	"-16,56"	1
01:58.1	-943	"21,66"	"-10,44"	2
01:58.2	-944	24	"-9,54"	2
01:58.3	-945	"25,18"	"-9,62"	2
01:58.5	-946	"25,72"	"-9,98"	2
01:58.6	-947	"25,9"	"-10,34"	2
01:58.7	-948	"25,63"	"-10,79"	2
01:58.8	-949	"24,91"	"-10,89"	2
01:59.0	-950	"24,73"	"-10,35"	2
01:59.1	-951	25	"-10,53"	2
01:59.2	-952	"24,82"	"-11,16"	2
01:59.3	-953	"23,83"	"-11,34"	2
01:59.5	-954	"23,83"	"-11,16"	2
01:59.6	-955	"23,65"	"-11,88"	2
01:59.7	-956	"22,66"	"-12,52"	2
01:59.8	-957	"22,66"	"-12,52"	2
02:00.0	-958	"22,75"	"-13,33"	2
02:00.1	-959	"21,76"	"-14,59"	2
02:00.2	-960	"21,67"	"-14,15"	2
02:00.3	-961	"21,13"	"-14,87"	2
02:00.5	-962	"21,22"	"-13,88"	2
02:00.6	-963	"21,58"	"-13,87"	2
02:00.7	-964	"21,76"	"-14,05"	2
02:00.8	-965	"20,77"	"-15,41"	2
02:01.0	-966	"20,23"	"-15,59"	2
02:01.1	-967	"19,87"	"-15,23"	2
02:01.2	-968	"19,78"	"-15,14"	2
02:01.3	-969	"19,78"	"-14,96"	2
02:01.5	-970	"20,05"	"-14,69"	2
02:01.6	-971	"20,5"	"-14,6"	2
02:01.7	-972	"21,67"	"-15,05"	2
02:01.8	-973	"21,94"	"-15,95"	2
02:02.0	-974	"21,13"	"-16,31"	2
02:02.1	-975	"22,03"	"-15,86"	2
02:02.2	-976	"22,21"	"-17,21"	2
02:02.3	-977	"21,94"	"-16,76"	2
02:02.5	-978	"22,57"	"-17,12"	2
02:02.6	-979	"22,31"	"-18,11"	2
02:02.7	-980	"21,49"	"-18,02"	2
02:02.8	-981	"21,85"	"-17,3"	2
02:03.0	-982	"22,48"	"-17,21"	2
02:03.1	-983	"22,76"	"-17,12"	2
02:03.2	-984	"23,12"	"-17,93"	2
02:03.3	-985	"22,4"	"-18,74"	2
02:03.5	-986	"21,5"	"-18,2"	2
02:03.6	-987	"22,49"	"-17,93"	2
02:03.7	-988	"22,76"	"-18,02"	2
02:03.8	-989	"22,94"	"-18,02"	2
02:04.0	-990	"22,94"	"-18,02"	2
02:04.1	-991	"22,49"	"-18,38"	2
02:04.2	-992	"21,05"	"-18,2"	2
02:04.3	-993	"21,05"	"-17,3"	2
02:04.5	-994	"22,04"	"-17,84"	2
02:04.6	-995	"21,77"	"-18,02"	2
02:04.7	-996	"22,22"	"-18,02"	2
02:04.8	-997	"21,95"	"-17,93"	2
02:05.0	-998	"22,4"	"-18,2"	2
02:05.1	-999	"22,58"	"-17,93"	2
02:05.2	-1000	"23,12"	"-18,11"	2
02:05.3	-1001	"22,76"	"-18,83"	2
02:05.5	-1002	"21,59"	"-19,01"	2
02:05.6	-1003	"21,23"	"-18,83"	2
02:05.7	-1004	"20,96"	"-17,93"	2
02:05.8	-1005	"21,68"	"-16,66"	2
02:06.0	-1006	"22,76"	"-17,02"	2
02:06.1	-1007	"22,58"	"-17,57"	2
02:06.2	-1008	"21,77"	"-17,3"	2
02:06.3	-1009	"22,31"	"-16,57"	2
02:06.5	-1010	"22,85"	"-17,2"	2
02:06.6	-1011	"22,13"	"-17,3"	2
02:06.7	-1012	"21,85"	"-16,66"	2
02:06.9	-1013	"21,85"	"-16,3"	2
02:07.0	-1014	"21,76"	"-16,03"	2
02:07.1	-1015	"21,94"	"-15,85"	2
02:07.2	-1016	"22,84"	"-16,03"	2
02:07.4	-1017	"22,84"	"-17,11"	2
02:07.5	-1018	"22,66"	"-16,57"	2
02:07.6	-1019	"23,38"	"-16,93"	2
02:07.7	-1020	"23,29"	"-17,57"	2
02:07.8	-1021	"23,11"	"-17,39"	2
02:08.0	-1022	"23,92"	"-16,75"	2
02:08.1	-1023	"24,19"	"-16,67"	2
02:08.2	-1024	"24,37"	"-17,03"	2
02:08.4	-1025	"23,47"	"-17,57"	2
02:08.5	-1026	"23,2"	"-17,57"	2
02:08.6	-1027	"23,11"	"-17,57"	2
02:08.7	-1028	"22,92"	"-17,03"	2
02:08.9	-1029	"23,28"	"-16,49"	2
02:09.0	-1030	"23,74"	"-16,4"	2
02:09.1	-1031	"23,74"	"-16,76"	2
02:09.2	-1032	"23,65"	"-16,76"	2
02:09.4	-1033	"23,74"	"-16,76"	2
02:09.5	-1034	"23,74"	"-16,76"	2
02:09.6	-1035	"23,65"	"-16,58"	2
02:09.7	-1036	"23,56"	"-16,04"	2
02:09.9	-1037	"23,83"	"-15,59"	2
02:10.0	-1038	"24,01"	"-15,41"	2
02:10.1	-1039	"24,1"	"-15,14"	2
02:10.2	-1040	"24,55"	"-15,41"	2
02:10.4	-1041	"24,65"	"-15,86"	2
02:10.5	-1042	"24,38"	"-16,31"	2
02:10.6	-1043	"23,84"	"-16,4"	2
02:10.7	-1044	"23,75"	"-15,86"	2
02:10.8	-1045	"24,02"	"-15,59"	2
02:11.0	-1046	"24,11"	"-15,41"	2
02:11.1	-1047	"24,03"	"-15,31"	2
02:11.2	-1048	"24,12"	"-15,22"	2
02:11.3	-1049	"24,21"	"-15,13"	2
02:11.5	-1050	"24,21"	"-14,96"	2
02:11.6	-1051	"24,21"	"-14,96"	2
02:11.7	-1052	"24,21"	"-14,95"	2
02:11.8	-1053	"24,22"	"-14,77"	2
02:12.0	-1054	"24,31"	"-14,86"	2
02:12.1	-1055	"24,4"	"-15,13"	2
02:12.2	-1056	"24,13"	"-15,59"	2
02:12.4	-1057	"23,5"	"-15,95"	2
02:12.5	-1058	"22,78"	"-15,41"	2
02:12.6	-1059	"22,6"	"-15,05"	2
02:12.7	-1060	"22,87"	"-14,78"	2
02:12.9	-1061	"23,86"	"-15,22"	2
02:13.0	-1062	"24,31"	"-15,85"	2
02:13.1	-1063	"23,95"	"-16,76"	2
02:13.2	-1064	"23,32"	"-16,85"	2
02:13.4	-1065	"23,05"	"-16,4"	2
02:13.5	-1066	"23,14"	"-16,12"	2
02:13.6	-1067	"23,13"	"-15,94"	2
02:13.7	-1068	"23,13"	"-15,77"	2
02:13.9	-1069	"23,4"	"-15,49"	2
02:14.0	-1070	"23,4"	"-15,31"	2
02:14.1	-1071	"23,49"	"-15,22"	2
02:14.2	-1072	"23,49"	"-15,04"	2
02:14.4	-1073	"23,58"	"-14,95"	2
02:14.5	-1074	"23,58"	"-14,95"	2
02:14.6	-1075	"23,58"	"-14,77"	2
02:14.7	-1076	"23,67"	"-14,68"	2
02:14.9	-1077	"23,85"	"-14,5"	2
02:15.0	-1078	"24,03"	"-14,5"	2
02:15.1	-1079	"24,39"	"-14,85"	2
02:15.2	-1080	"24,48"	"-14,76"	2
02:15.4	-1081	"24,57"	"-14,67"	2
02:15.5	-1082	"24,57"	"-14,85"	2
02:15.6	-1083	"24,66"	"-14,94"	2
02:15.7	-1084	"24,21"	"-15,39"	2
02:15.9	-1085	"23,39"	"-15,3"	2
02:16.0	-1086	"23,4"	"-14,76"	2
02:16.1	-1087	"23,58"	"-14,58"	2
02:16.2	-1088	"23,76"	"-14,58"	2
02:16.4	-1089	"24,48"	"-15,12"	2
02:16.5	-1090	"24,57"	"-15,39"	2
02:16.6	-1091	"24,84"	"-15,48"	2
02:16.7	-1092	"24,66"	"-15,84"	2
02:16.9	-1093	"23,04"	"-16,03"	2
02:17.0	-1094	"22,94"	"-15,58"	2
02:17.1	-1095	"23,31"	"-15,76"	2
02:17.2	-1096	"23,22"	"-16,39"	2
02:17.4	-1097	"22,49"	"-15,67"	2
02:17.5	-1098	"22,68"	"-15,31"	2
02:17.6	-1099	"22,85"	"-15,13"	2
02:17.7	-1100	"22,85"	"-14,95"	2
02:17.9	-1101	"22,95"	"-15,31"	2
02:18.0	-1102	"22,77"	"-15,94"	2
02:18.1	-1103	"22,23"	"-16,12"	2
