time 	frame	x	y	
4:17.07	-7712	13,16	5,94	3
4:17.20	-7716	9,97	4,05	3
4:17.33	-7720	8,57	3,22	3
4:17.47	-7724	8,41	3,22	3
4:17.57	-7727	8,37	3,22	3
4:17.83	-7735	8,25	3,26	3
4:17.97	-7739	6,65	4,53	3
4:18.07	-7742	6,28	5,49	3
4:18.20	-7746	6,72	6,93	3
4:18.33	-7750	7,31	7,58	3
4:18.47	-7754	7,75	8,02	3
4:18.57	-7757	7,71	8,22	3
4:18.70	-7761	7,35	7,5	3
4:18.83	-7765	7,24	6,54	3
4:18.93	-7768	7,24	6,53	3
4:18.97	-7769	7,12	5,89	3
