"Temp","Pote","Larva","Trayectoria","Time","IV"
"15","A","10",2,7.099999904632568,0.834072486410593
"15","A","10",3,8.299999952316284,4.201183249001568
"15","A","10",4,9.200000047683716,2.2694707164635295
"15","A","2",1,6.799999952316284,3.102935373284598
"15","A","2",2,14.899999856948853,1.6591860759883044
"15","A","2",3,28.399999856948853,1.2289860710215448
"15","A","2",4,7.900000095367432,2.1349327054450637
"15","A","2",5,7.799999952316284,1.8511764280087206
"15","A","2",6,28,1.2659735935998095
"15","A","3",1,10,4.401880169306073
"15","A","3",2,12.5,2.7165790992854943
"15","A","3",3,7.8999998569488525,0.9739523126973894
"15","A","3",4,7.3999998569488525,1.9367921634952299
"15","A","3",5,11.5,0.8666828658235682
"15","A","3",6,15.799999952316284,3.5798597648052857
"15","A","3",7,5.299999952316284,4.5112040287448725
"15","A","3",8,18.799999952316284,1.4989189349073373
"15","A","3",9,14.399999856948853,1.289596120886722
"15","A","5",1,7.400000095367432,2.4610426670177783
"15","A","5",2,7.299999952316284,1.8255312057535964
"15","A","7",1,12,1.488205900337942
"15","A","8",1,20.799999952316284,3.178669404901868
"15","A","8",2,21.700000047683716,2.0862070267755697
"15","A","8",3,6.299999952316284,1.3374482955127664
"15","A","9",1,4.599999904632568,14.515976142025979
"15","A","9",2,64.20000004768372,3.8199873993570423
"15","A","9",3,11.799999952316284,2.3890899236753156
"15","A","9",4,6.5,3.989226607563781
"15","A","9",5,16,2.433790331124209
"15","B","1",1,16.100000143051147,1.2996655641740595
"15","B","1",2,23,1.2142314681188284
"15","B","1",3,5.1000001430511475,1.264291204841927
"15","B","1",4,8.699999809265137,2.3218652807371
"15","B","1",5,13.700000047683716,0.9559619499308339
"15","B","10",1,6.099999904632568,1.4221174299212982
"15","B","10",2,16.59999990463257,1.3646117416051322
"15","B","10",3,13.799999952316284,4.411803989308332
"15","B","10",4,7.599999904632568,6.517981291850516
"15","B","10",5,6,1.4647719361700142
"15","B","10",6,25,5.356317399239054
"15","B","2",1,6.699999809265137,6.46836030446862
"15","B","2",2,15,5.107825491505656
"15","B","2",3,51.299999952316284,2.7769660307870105
"15","B","2",4,21.59999990463257,1.8393398880647551
"15","B","2",5,7.200000047683716,2.2179231550457903
"15","B","2",6,5.900000095367432,4.9021792677602365
"15","B","2",7,7.099999904632568,1.8944761011567794
"15","B","3",1,51.200000047683716,1.317156839313536
"15","B","6",1,14.900000095367432,1.2175177397079873
"15","B","6",2,19.600000143051147,1.2634155938669782
"15","B","6",3,29.100000143051147,1.509384875522574
"15","B","7",1,6.200000047683716,1.8005572991470091
"15","B","7",2,6.5,6.133842588240348
"15","B","7",3,6.799999952316284,4.397198724798154
"15","B","9",1,33.799999952316284,1.3091459460920722
"15","C","1",1,11.199999809265137,0.777467627055075
"15","C","10",1,9.899999856948853,6.194824747648644
"15","C","10",2,5.1000001430511475,5.3645435779406405
"15","C","10",3,6.099999904632568,5.700794120865011
"15","C","10",4,8.800000190734863,3.6350629311966043
"15","C","10",5,22,3.428482162498363
"15","C","2",1,18.40000009536743,1.7168300366232097
"15","C","2",2,14.899999856948853,2.493074348916638
"15","C","2",3,17.700000047683716,0.8390819909776529
"15","C","2",4,7.799999952316284,2.168605347334789
"15","C","2",5,12.099999904632568,1.6287808268189745
"15","C","3",1,21.799999952316284,0.7555059814812967
"15","C","3",2,5.799999952316284,2.0865031413435227
"15","C","5",1,9,1.5717064707560666
"15","C","5",2,5.799999952316284,1.5743905165304959
"15","C","6",1,6,2.2570665313562777
"15","C","7",1,7.700000047683716,5.8502062530487935
"15","C","7",2,21.09999990463257,4.07601297376061
"15","C","7",3,31.799999952316284,2.8376084204524323
"15","C","8",1,9.300000190734863,5.327771429445106
"15","C","8",2,18.299999952316284,3.648094989639997
"15","C","8",3,6.3999998569488525,5.242611497639479
"15","C","8",4,8,5.771099314588233
"15","C","8",5,45.5,3.047084959434602
"15","C","9",1,6.599999904632568,1.8587198154440894
"15","C","9",2,5.800000190734863,1.717313384113342
"15","C","9",3,11.700000047683716,1.7931864290866988
"15","C","9",4,11,1.9263302025469613
"15","C","9",5,16.200000047683716,1.1669004741679712
"17","A","1",1,8.099999904632568,1.0230199116733154
