time	frame	x	y	
3:03.47	-5504	11,49	-14,19	3
3:03.50	-5505	11,48	-14,19	3
3:03.57	-5507	11,74	-14,48	3
3:03.70	-5511	11,82	-14,56	3
3:03.83	-5515	11,86	-14,6	3
3:03.90	-5517	11,86	-14,64	3
3:03.97	-5519	12,57	-14,51	3
3:04.07	-5522	13,75	-14,47	3
3:04.20	-5526	14,11	-14,43	3
3:04.33	-5530	14,39	-14,22	3
3:04.47	-5534	14,51	-14,18	3
3:04.57	-5537	14,91	-13,9	3
3:04.70	-5541	14,74	-12,61	3
3:04.83	-5545	14,57	-11,77	3
3:04.97	-5549	14,52	-11,01	3
3:05.00	-5550	14,56	-11,01	3
3:05.07	-5552	14,71	-9,65	3
3:05.20	-5556	13,55	-10,1	3
3:05.33	-5560	12,8	-10,71	3
3:05.47	-5564	12,68	-11,55	3
3:05.57	-5567	13,33	-11,62	3
3:05.60	-5568	13,32	-11,62	3
3:05.70	-5571	13	-11,47	3
3:05.83	-5575	11,39	-11,2	3
3:05.97	-5579	10,31	-10,97	3
3:06.07	-5582	10,01	-10,83	3
3:06.20	-5586	10,01	-10,91	3
3:06.23	-5587	10,02	-10,91	3
3:06.33	-5590	10,14	-10,95	3
3:06.47	-5594	10,5	-10,59	3
3:06.57	-5597	10,73	-10,3	3
3:06.60	-5598	10,74	-10,3	3
3:06.67	-5600	10,74	-10,31	3
3:06.70	-5601	10,93	-10,14	3
3:06.83	-5605	11,09	-10,02	3
3:06.97	-5609	11,37	-9,86	3
3:07.07	-5612	11,97	-9,61	3
3:07.20	-5616	12,49	-9,53	3
3:07.33	-5620	11,7	-8,71	3
3:07.47	-5624	10,49	-7,68	3
3:07.57	-5627	10,25	-7,97	3
3:07.70	-5631	9,89	-8,09	3
3:07.83	-5635	9,7	-8,45	3
3:07.87	-5636	9,69	-8,45	3
3:07.97	-5639	9,46	-9,06	3
3:08.07	-5642	8,86	-9,22	3
3:08.20	-5646	9,06	-8,94	3
3:08.33	-5650	9,46	-8,85	3
3:08.47	-5654	10,26	-8,85	3
3:08.60	-5658	10,99	-9,4	3
3:08.70	-5661	10,58	-9,05	3
3:08.83	-5665	10,98	-8,88	3
3:08.97	-5669	11,71	-9,16	3
3:09.10	-5673	13,04	-9,95	3
3:09.20	-5676	13,76	-10,06	3
3:09.33	-5680	14,85	-10,74	3
3:09.47	-5684	15,54	-11,69	3
3:09.60	-5688	16,15	-12,25	3
3:09.70	-5691	17,04	-13,45	3
3:09.83	-5695	16,8	-12,93	3
3:09.97	-5699	17,6	-12,76	3
3:10.10	-5703	18,45	-13,47	3
3:10.20	-5706	19,18	-14,23	3
3:10.33	-5710	19,63	-15,43	3
3:10.47	-5714	19,27	-15,83	3
3:10.60	-5718	19,23	-15,51	3
3:10.70	-5721	19,51	-15,27	3
3:10.83	-5725	19,87	-14,87	3
3:10.97	-5729	20,38	-14,38	3
3:11.10	-5733	20,74	-14,1	3
3:11.20	-5736	21,02	-13,85	3
3:11.33	-5740	22,3	-12,28	3
3:11.47	-5744	23,29	-10,63	3
3:11.60	-5748	24,04	-10,14	3
3:11.70	-5751	24,73	-10,05	3
3:11.83	-5755	25,41	-9,97	3
3:11.97	-5759	26,29	-9,56	3
3:12.10	-5763	26,85	-9,35	3
3:12.20	-5766	27,17	-9,19	3
3:12.33	-5770	27,52	-8,87	3
3:12.60	-5778	27,92	-8,34	3
3:12.70	-5781	27,59	-7,06	3
3:12.83	-5785	26,02	-6,55	3
3:12.97	-5789	24,85	-6,24	3
3:13.10	-5793	24,93	-5,6	3
3:13.13	-5794	24,93	-5,64	3
3:13.23	-5797	25,33	-5,51	3
3:13.33	-5800	25,69	-5,23	3
3:13.47	-5804	25,84	-4,79	3
3:13.60	-5808	25,32	-4,15	3
3:13.73	-5812	24,67	-4,08	3
3:13.83	-5815	24,39	-4,12	3
3:13.97	-5819	24,07	-4,32	3
3:14.10	-5823	23,32	-5,05	3
3:14.23	-5827	21,43	-4,66	3
3:14.33	-5830	21,03	-4,39	3
