Temp,Pote,Larva,Trayectoria,Time,IV
17,B,3,9,6.5,5.497416763905340
17,B,3,10,17.5,4.254750959352280
17,B,4,1,17.59999990463260,0.8259191281356990
17,B,4,2,22.700000047683700,0.8318049520362520
17,B,5,1,16.40000009536740,2.0670960219893700
17,B,5,2,23.59999990463260,1.282741090984760
17,B,5,3,8.400000095367430,1.127079307003480
17,B,5,4,7.700000047683720,1.7599996909448000
17,C,1,1,11.200000047683700,3.7973700166097900
17,C,1,2,5.799999952316280,3.866259357982010
17,C,1,3,6.700000047683720,2.332795257201160
17,C,1,4,8.399999856948850,1.994052856771720
17,C,1,5,12.5,1.4365864603088100
17,C,1,6,12.899999856948900,2.7478973049113900
17,C,1,7,6.599999904632570,3.210222031374320
17,C,2,1,42.200000047683700,2.59947359170832
17,C,2,2,23.200000047683700,2.405448570154740
17,C,2,3,13.899999856948900,1.147717735698980
17,C,2,4,14.900000095367400,2.5313180921495400
17,C,2,5,6.299999952316280,1.3616298200632500
17,C,2,6,15.5,0.8015198938448920
17,C,3,1,19.299999952316300,1.358988765472130
17,C,3,2,6.300000190734860,2.402058603429520
17,C,3,3,7.200000047683720,2.6986703479605300
17,C,3,4,15.400000095367400,2.578458795878890
17,C,3,5,4.3999998569488500,3.349108143371770
17,C,4,1,38.200000047683700,2.4792481048138800
17,C,4,2,10.299999952316300,2.747863369707310
17,C,4,3,9.200000047683720,2.847721998248120
17,C,5,1,14.5,1.0289241991334100
17,C,5,2,11.899999856948900,0.7755232727904400
17,C,5,3,13.799999713897700,1.619640608642890
17,C,5,4,6.900000095367430,2.897833341195670
17,C,5,5,15.399999856948900,1.8055131419523600
17,C,5,6,12.400000095367400,1.1460552067042400
